id,date,review
1,2026-04-21,The delivery was fast and the package arrived in good condition.
2,2026-04-22,"The product works, but the price is a little too high."
3,2026-04-22,Customer support answered quickly and helped me solve the issue.
4,2026-04-23,The item looked cheaper than in the photos and the quality was disappointing.
5,2026-04-24,"It is a normal product. Nothing special, but it does the job."
6,2026-04-24,The order was delayed for several days and there were no updates.
7,2026-04-25,I liked the design and the product feels comfortable to use.
8,2026-04-26,"The service was polite, but the delivery took longer than expected."
9,2026-04-27,For this price the quality is very good. I would buy it again.
10,2026-04-27,"The product description was not clear, so I ordered the wrong size."
11,2026-04-28,"The box was damaged, but the product inside was fine."
12,2026-04-29,"The product is simple, cheap and useful for everyday use."
